FID	Longitude	Latitude	Type	NEIGH_NAME	BELEDIYE
178	39.633823	24.422652	تنسيق الاشجار والزهور	حي الخاتم	قباء
179	39.633733	24.422621	تنسيق الاشجار والزهور	حي الخاتم	قباء
180	39.628465	24.421644	معالجة حاويات النظافة	حي الخاتم	قباء
181	39.625337	24.421105	معالجة حاويات النظافة	حي الخاتم	قباء
182	39.624693	24.421031	معالجة حاويات النظافة	حي الخاتم	قباء
183	39.640888	24.423073	تحسين وجهات	حى الرواب	قباء
184	39.641628	24.423121	رخص المحلات	حى الرواب	قباء
185	39.637106	24.422338	صبات خراصانية	حى الرواب	قباء
186	39.651728	24.428916	صبات خراصانية	حى الرواب	قباء
187	39.652114	24.429231	تنسيق الاشجار والزهور	حى الرواب	قباء
188	39.652168	24.429299	تنسيق الاشجار والزهور	حى الرواب	قباء
189	39.649081	24.426755	معالجة حاويات النظافة	حى الرواب	قباء
190	39.637246	24.422272	إزالة اللوحات الدعائية المخالفة	حى الرواب	قباء
191	39.638986	24.422613	ازالة مخلفات البناء والهدم ونواتج الحفر	حى الرواب	قباء
192	39.639326	24.422615	رخص المحلات	حى الرواب	قباء
193	39.64228	24.423413	رخص المحلات	حى الرواب	قباء
194	39.637074	24.422247	رخص المحلات	حى الرواب	قباء
195	39.651663	24.42882	رخص المحلات	حى الرواب	قباء
196	39.615795	24.421075	إزالة المظلات والهناكر (داخل الاحياء)	حي الحديق	قباء
197	39.607356	24.426119	صبات خراصانية	حي الحديق	قباء
198	39.607718	24.425805	صبات خراصانية	حي الحديق	قباء
199	39.607788	24.425702	صبات خراصانية	حي الحديق	قباء
200	39.613208	24.421851	معالجة حاويات النظافة	حي الحديق	قباء
201	39.607585	24.425833	معالجة محطات الوقود	حي الحديق	قباء
202	39.60694	24.426042	ازالة مخلفات البناء والهدم ونواتج الحفر	حي الحديق	قباء
203	39.609383	24.42435	ازالة مخلفات البناء والهدم ونواتج الحفر	حي الحديق	قباء
204	39.614	24.421466	ازالة مخلفات البناء والهدم ونواتج الحفر	حي الحديق	قباء
205	39.612755	24.42207	رخص المحلات	حي الحديق	قباء
206	39.61727	24.420577	رخص المحلات	حي الحديق	قباء
207	39.617909	24.420434	رخص المحلات	حي الحديق	قباء
208	39.619988	24.420126	رخص المحلات	حي الحديق	قباء
209	39.616088	24.420905	رخص المحلات	حي الحديق	قباء
210	39.616391	24.420697	رخص المحلات	حي الحديق	قباء
211	39.617016	24.420718	اسكراب وتشليح	حي الحديق	قباء
212	39.604168	24.430085	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حى القصوا	قباء
213	39.60309	24.432102	معالجة حاويات النظافة	حى القصوا	قباء
214	39.603855	24.430037	إزالة اللوحات الدعائية المخالفة	حى القصوا	قباء
215	39.604537	24.429362	ازالة مخلفات البناء والهدم ونواتج الحفر	حى القصوا	قباء
216	39.6025	24.495179	إزالة السيارات التالفة والمهملة	حى مسجد ال	أحد
217	39.607478	24.495408	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حى مسجد ال	أحد
218	39.61015	24.495709	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حى مسجد ال	أحد
219	39.615817	24.497485	تنسيق الاشجار والزهور	حى مسجد ال	أحد
220	39.602143	24.49509	معالجة حاويات النظافة	حى مسجد ال	أحد
221	39.608282	24.495369	إزالة اللوحات الدعائية المخالفة	حى مسجد ال	أحد
222	39.608718	24.495519	إزالة اللوحات الدعائية المخالفة	حى مسجد ال	أحد
223	39.610893	24.495706	ازالة مخلفات البناء والهدم ونواتج الحفر	حى مسجد ال	أحد
224	39.606978	24.495513	رخص المحلات	حى مسجد ال	أحد
225	39.607353	24.495419	رخص المحلات	حى مسجد ال	أحد
226	39.604937	24.495378	رخص المحلات	حى مسجد ال	أحد
227	39.610052	24.495777	اسكراب وتشليح	حى مسجد ال	أحد
228	39.61928	24.498924	رخص المحلات	حى بنى حار	أحد
229	39.627841	24.4992	إزالة المباني الايلة للسقوط	حى بنى حار	أحد
230	39.631012	24.498262	تحسين وجهات	حى بنى حار	أحد
231	39.630892	24.498393	تحسين وجهات	حى بنى حار	أحد
232	39.631163	24.498262	تحسين وجهات	حى بنى حار	أحد
233	39.631895	24.497997	تحسين وجهات	حى بنى حار	أحد
234	39.631979	24.49785	تحسين وجهات	حى بنى حار	أحد
235	39.632219	24.497936	إزالة المباني الايلة للسقوط	حى بنى حار	أحد
236	39.632376	24.497814	إزالة المباني الايلة للسقوط	حى بنى حار	أحد
237	39.632539	24.497843	إزالة الكتابات المشوهة للمظهر العام	حى بنى حار	أحد
238	39.632675	24.497739	تحسين وجهات	حى بنى حار	أحد
239	39.63273	24.497374	إزالة المباني الايلة للسقوط	حى بنى حار	أحد
240	39.635837	24.496624	إزالة المباني الايلة للسقوط	حى بنى حار	أحد
241	39.636313	24.496442	تحسين وجهات	حى بنى حار	أحد
242	39.636564	24.496329	إزالة المباني الايلة للسقوط	حى بنى حار	أحد
243	39.637028	24.496128	تحسين وجهات	حى بنى حار	أحد
244	39.637429	24.49599	إزالة المظلات والهناكر (داخل الاحياء)	حى بنى حار	أحد
245	39.63054	24.498528	إزالة السيارات التالفة والمهملة	حى بنى حار	أحد
246	39.636032	24.496581	إزالة السيارات التالفة والمهملة	حى بنى حار	أحد
247	39.621732	24.499622	تنسيق الاشجار والزهور	حى بنى حار	أحد
248	39.621832	24.499638	تنسيق الاشجار والزهور	حى بنى حار	أحد
249	39.631175	24.498226	اسكراب وتشليح	حى بنى حار	أحد
250	39.632785	24.49773	اسكراب وتشليح	حى بنى حار	أحد
251	39.637428	24.495995	اسكراب وتشليح	حى بنى حار	أحد
252	39.619484	24.499005	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حى بنى حار	أحد
253	39.621931	24.499648	تنسيق الاشجار والزهور	حى بنى حار	أحد
254	39.622045	24.499648	تنسيق الاشجار والزهور	حى بنى حار	أحد
255	39.622133	24.499676	تنسيق الاشجار والزهور	حى بنى حار	أحد
256	39.622628	24.49973	تنسيق الاشجار والزهور	حى بنى حار	أحد
257	39.622726	24.499746	تنسيق الاشجار والزهور	حى بنى حار	أحد
258	39.622834	24.499739	تنسيق الاشجار والزهور	حى بنى حار	أحد
259	39.622922	24.499764	تنسيق الاشجار والزهور	حى بنى حار	أحد
260	39.623125	24.499779	تنسيق الاشجار والزهور	حى بنى حار	أحد
261	39.623323	24.499787	تنسيق الاشجار والزهور	حى بنى حار	أحد
262	39.623625	24.499796	تنسيق الاشجار والزهور	حى بنى حار	أحد
263	39.625212	24.499644	معالجة حاويات النظافة	حى بنى حار	أحد
264	39.63108	24.498393	معالجة حاويات النظافة	حى بنى حار	أحد
265	39.631677	24.498181	معالجة حاويات النظافة	حى بنى حار	أحد
266	39.635819	24.496712	معالجة حاويات النظافة	حى بنى حار	أحد
267	39.617218	24.497687	إزالة اللوحات الدعائية المخالفة	حى بنى حار	أحد
268	39.635294	24.496846	إزالة اللوحات الدعائية المخالفة	حى بنى حار	أحد
269	39.635594	24.496749	إزالة اللوحات الدعائية المخالفة	حى بنى حار	أحد
270	39.624825	24.499683	معالجة محطات الوقود	حى بنى حار	أحد
271	39.621184	24.499407	ازالة مخلفات البناء والهدم ونواتج الحفر	حى بنى حار	أحد
272	39.631698	24.498159	ازالة مخلفات البناء والهدم ونواتج الحفر	حى بنى حار	أحد
273	39.631197	24.49824	رخص المحلات	حى بنى حار	أحد
274	39.631962	24.498027	رخص المحلات	حى بنى حار	أحد
275	39.619149	24.49882	رخص المحلات	حى بنى حار	أحد
276	39.619756	24.499145	اسكراب وتشليح	حى بنى حار	أحد
277	39.620031	24.499217	اسكراب وتشليح	حى بنى حار	أحد
278	39.60203	24.496081	اسكراب وتشليح	حى الشهدا	أحد
279	39.610147	24.496709	صبات خراصانية	حى الشهدا	أحد
280	39.605166	24.496261	صبات خراصانية	حى الشهدا	أحد
281	39.604106	24.496209	صبات خراصانية	حى الشهدا	أحد
282	39.603931	24.496263	صبات خراصانية	حى الشهدا	أحد
283	39.605174	24.496268	صبات خراصانية	حى الشهدا	أحد
284	39.621183	24.50035	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حى الشهدا	أحد
285	39.605385	24.496267	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حى الشهدا	أحد
286	39.604545	24.496428	رخص المحلات	حى الشهدا	أحد
287	39.604056	24.496344	رخص المحلات	حى الشهدا	أحد
288	39.618031	24.499605	معالجة حاويات النظافة	حى الشهدا	أحد
289	39.610404	24.49709	معالجة حاويات النظافة	حى الشهدا	أحد
290	39.604505	24.496229	معالجة حاويات النظافة	حى الشهدا	أحد
291	39.60413	24.496216	معالجة حاويات النظافة	حى الشهدا	أحد
292	39.602716	24.496318	معالجة حاويات النظافة	حى الشهدا	أحد
293	39.609654	24.49673	إزالة اللوحات الدعائية المخالفة	حى الشهدا	أحد
294	39.609384	24.496645	إزالة اللوحات الدعائية المخالفة	حى الشهدا	أحد
295	39.609235	24.496746	إزالة اللوحات الدعائية المخالفة	حى الشهدا	أحد
296	39.609187	24.496748	إزالة اللوحات الدعائية المخالفة	حى الشهدا	أحد
297	39.606941	24.496369	إزالة اللوحات الدعائية المخالفة	حى الشهدا	أحد
298	39.604311	24.496254	معالجة محطات الوقود	حى الشهدا	أحد
299	39.601832	24.496413	ازالة مخلفات البناء والهدم ونواتج الحفر	حى الشهدا	أحد
300	39.622482	24.500483	ازالة مخلفات البناء والهدم ونواتج الحفر	حى الشهدا	أحد
301	39.605183	24.496351	إزالة المباني الايلة للسقوط	حى الشهدا	أحد
302	39.602564	24.496514	إزالة المباني الايلة للسقوط	حى الشهدا	أحد
303	39.608954	24.496577	اسكراب وتشليح	حى الشهدا	أحد
304	39.601691	24.496124	اسكراب وتشليح	حى الشهدا	أحد
305	39.635725	24.497505	إزالة المباني الايلة للسقوط	حي جبل أحـ	أحد
306	39.636968	24.497069	اسكراب وتشليح	حي جبل أحـ	أحد
307	39.636649	24.497149	معالجة حاويات النظافة	حي جبل أحـ	أحد
308	39.627353	24.500237	معالجة حاويات النظافة	حي جبل أحـ	أحد
309	39.626245	24.500446	رخص المحلات	حي جبل أحـ	أحد
310	39.63631	24.497369	اسكراب وتشليح	حي جبل أحـ	أحد
311	39.587456	24.457327	إزالة السيارات التالفة والمهملة	حى حرة الو	العقيق
312	39.587777	24.457074	إزالة السيارات التالفة والمهملة	حى حرة الو	العقيق
313	39.584846	24.461789	إزالة الكتابات المشوهة للمظهر العام	حى حرة الو	العقيق
314	39.58606	24.459868	إزالة الكتابات المشوهة للمظهر العام	حى حرة الو	العقيق
315	39.587436	24.457307	إزالة المظلات والهناكر (داخل الاحياء)	حى حرة الو	العقيق
316	39.585325	24.461111	تنسيق الاشجار والزهور	حى حرة الو	العقيق
317	39.585799	24.460357	تنسيق الاشجار والزهور	حى حرة الو	العقيق
318	39.588189	24.456432	تنسيق الاشجار والزهور	حى حرة الو	العقيق
319	39.588247	24.456352	تنسيق الاشجار والزهور	حى حرة الو	العقيق
320	39.588348	24.456168	تنسيق الاشجار والزهور	حى حرة الو	العقيق
321	39.588366	24.456019	تنسيق الاشجار والزهور	حى حرة الو	العقيق
322	39.588577	24.455808	تنسيق الاشجار والزهور	حى حرة الو	العقيق
323	39.588637	24.455719	تنسيق الاشجار والزهور	حى حرة الو	العقيق
324	39.588736	24.455545	تنسيق الاشجار والزهور	حى حرة الو	العقيق
325	39.589079	24.454985	تنسيق الاشجار والزهور	حى حرة الو	العقيق
326	39.589131	24.454898	تنسيق الاشجار والزهور	حى حرة الو	العقيق
327	39.587404	24.457343	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حى حرة الو	العقيق
328	39.583541	24.464086	معالجة حاويات النظافة	حى حرة الو	العقيق
329	39.584267	24.462821	معالجة حاويات النظافة	حى حرة الو	العقيق
330	39.584781	24.462028	معالجة حاويات النظافة	حى حرة الو	العقيق
331	39.586603	24.459048	معالجة حاويات النظافة	حى حرة الو	العقيق
332	39.586888	24.45859	معالجة حاويات النظافة	حى حرة الو	العقيق
333	39.586922	24.458438	معالجة حاويات النظافة	حى حرة الو	العقيق
334	39.587269	24.45796	معالجة حاويات النظافة	حى حرة الو	العقيق
335	39.587383	24.457269	معالجة حاويات النظافة	حى حرة الو	العقيق
336	39.582842	24.46534	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
337	39.582852	24.465182	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
338	39.583931	24.463215	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
339	39.58441	24.462462	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
340	39.584485	24.462391	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
341	39.584629	24.462156	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
342	39.585211	24.46128	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
343	39.585109	24.461218	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
344	39.586464	24.459166	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
345	39.586535	24.459031	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
346	39.586833	24.458631	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
347	39.586861	24.458602	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
348	39.587099	24.458082	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
349	39.587176	24.457969	إزالة اللوحات الدعائية المخالفة	حى حرة الو	العقيق
